"CLIENT","PURCHASEORDERID","HISTORY_CREATEDBY_EMPLOYEEID","HISTORY_CREATEDAT","HISTORY_CHANGEDBY_EMPLOYEEID","HISTORY_CHANGEDAT","NOTEID","PARTNER_PARTNERID","CURRENCY","GROSSAMOUNT","NETAMOUNT","TAXAMOUNT","LIFECYCLESTATUS","APPROVALSTATUS","CONFIRMSTATUS","ORDERINGSTATUS","INVOICINGSTATUS"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD07FB","02BD2137-0890-1EEA-A6C2-BB55C19947FB","20150111","02BD2137-0890-1EEA-A6C2-BB55C19827FB","20150111","","02BD2137-0890-1EEA-A6C2-BB55C19BE7FB","EUR","8150.94 ","6849.53 ","1301.41 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD27FB","02BD2137-0890-1EEA-A6C2-BB55C19A67FB","20150112","02BD2137-0890-1EEA-A6C2-BB55C19A47FB","20150112","","02BD2137-0890-1EEA-A6C2-BB55C19C27FB","EUR","3040.41 ","2554.97 ","485.44 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD47FB","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20150113","02BD2137-0890-1EEA-A6C2-BB55C19867FB","20150113","","02BD2137-0890-1EEA-A6C2-BB55C19C47FB","EUR","18986.39 ","15954.94 ","3031.45 ","P","I","S","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD67FB","02BD2137-0890-1EEA-A6C2-BB55C19787FB","20150114","02BD2137-0890-1EEA-A6C2-BB55C197E7FB","20150114","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","23408.49 ","19671.00 ","3737.49 ","P","A","S","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BD87FB","02BD2137-0890-1EEA-A6C2-BB55C19A87FB","20150115","02BD2137-0890-1EEA-A6C2-BB55C19A27FB","20150115","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","12515.23 ","10517.00 ","1998.23 ","R","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BDA7FB","02BD2137-0890-1EEA-A6C2-BB55C19807FB","20150116","02BD2137-0890-1EEA-A6C2-BB55C198E7FB","20150116","","02BD2137-0890-1EEA-A6C2-BB55C19CA7FB","EUR","9971.01 ","8379.00 ","1592.01 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BDC7FB","02BD2137-0890-1EEA-A6C2-BB55C19B27FB","20150117","02BD2137-0890-1EEA-A6C2-BB55C199E7FB","20150117","","02BD2137-0890-1EEA-A6C2-BB55C19C27FB","EUR","1829.01 ","1536.98 ","292.03 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BDE7FB","02BD2137-0890-1EEA-A6C2-BB55C19B07FB","20150118","02BD2137-0890-1EEA-A6C2-BB55C19A07FB","20150118","","02BD2137-0890-1EEA-A6C2-BB55C19C47FB","EUR","5055.11 ","4247.99 ","807.12 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE07FB","02BD2137-0890-1EEA-A6C2-BB55C19887FB","20150119","02BD2137-0890-1EEA-A6C2-BB55C197E7FB","20150119","","02BD2137-0890-1EEA-A6C2-BB55C19BE7FB","EUR","2510.26 ","2109.47 ","400.79 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE27FB","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20150120","02BD2137-0890-1EEA-A6C2-BB55C19807FB","20150120","","02BD2137-0890-1EEA-A6C2-BB55C19CC7FB","EUR","3974.12 ","3339.60 ","634.52 ","P","A","C","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE47FB","02BD2137-0890-1EEA-A6C2-BB55C19867FB","20150121","02BD2137-0890-1EEA-A6C2-BB55C19B07FB","20150121","","02BD2137-0890-1EEA-A6C2-BB55C19BA7FB","EUR","10329.20 ","8680.00 ","1649.20 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE67FB","02BD2137-0890-1EEA-A6C2-BB55C19B67FB","20150122","02BD2137-0890-1EEA-A6C2-BB55C199C7FB","20150122","","02BD2137-0890-1EEA-A6C2-BB55C19BE7FB","EUR","2153.64 ","1809.78 ","343.86 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BE87FB","02BD2137-0890-1EEA-A6C2-BB55C19B07FB","20150123","02BD2137-0890-1EEA-A6C2-BB55C19A87FB","20150123","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","14276.43 ","11997.00 ","2279.43 ","P","I","C","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BEA7FB","02BD2137-0890-1EEA-A6C2-BB55C198E7FB","20150124","02BD2137-0890-1EEA-A6C2-BB55C197C7FB","20150124","","02BD2137-0890-1EEA-A6C2-BB55C19CA7FB","EUR","3592.61 ","3019.00 ","573.61 ","P","I","C","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BEC7FB","02BD2137-0890-1EEA-A6C2-BB55C197A7FB","20150125","02BD2137-0890-1EEA-A6C2-BB55C198A7FB","20150125","","02BD2137-0890-1EEA-A6C2-BB55C19C47FB","EUR","14640.47 ","12302.92 ","2337.55 ","R","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BEE7FB","02BD2137-0890-1EEA-A6C2-BB55C19807FB","20150126","02BD2137-0890-1EEA-A6C2-BB55C19AE7FB","20150126","","02BD2137-0890-1EEA-A6C2-BB55C19C07FB","EUR","16748.33 ","14074.23 ","2674.10 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF07FB","02BD2137-0890-1EEA-A6C2-BB55C19907FB","20150127","02BD2137-0890-1EEA-A6C2-BB55C19B67FB","20150127","","02BD2137-0890-1EEA-A6C2-BB55C19C07FB","EUR","13053.03 ","10968.94 ","2084.09 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF27FB","02BD2137-0890-1EEA-A6C2-BB55C19927FB","20150128","02BD2137-0890-1EEA-A6C2-BB55C19A87FB","20150128","","02BD2137-0890-1EEA-A6C2-BB55C19C07FB","EUR","8555.55 ","7189.54 ","1366.01 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF47FB","02BD2137-0890-1EEA-A6C2-BB55C19A07FB","20150129","02BD2137-0890-1EEA-A6C2-BB55C19947FB","20150129","","02BD2137-0890-1EEA-A6C2-BB55C19CA7FB","EUR","4977.77 ","4183.00 ","794.77 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF67FB","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20150130","02BD2137-0890-1EEA-A6C2-BB55C199E7FB","20150130","","02BD2137-0890-1EEA-A6C2-BB55C19C27FB","EUR","3180.85 ","2672.98 ","507.87 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF87FB","02BD2137-0890-1EEA-A6C2-BB55C199E7FB","20150131","02BD2137-0890-1EEA-A6C2-BB55C19A27FB","20150131","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","25366.04 ","21316.00 ","4050.04 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BFA7FB","02BD2137-0890-1EEA-A6C2-BB55C19AE7FB","20150201","02BD2137-0890-1EEA-A6C2-BB55C199E7FB","20150201","","02BD2137-0890-1EEA-A6C2-BB55C19C27FB","EUR","3470.00 ","2915.97 ","554.03 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BFC7FB","02BD2137-0890-1EEA-A6C2-BB55C19A27FB","20150202","02BD2137-0890-1EEA-A6C2-BB55C19A27FB","20150202","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","23589.37 ","19823.00 ","3766.37 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BFE7FB","02BD2137-0890-1EEA-A6C2-BB55C199C7FB","20150203","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20150203","","02BD2137-0890-1EEA-A6C2-BB55C19CC7FB","EUR","4444.17 ","3734.60 ","709.57 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C007FB","02BD2137-0890-1EEA-A6C2-BB55C19B27FB","20150204","02BD2137-0890-1EEA-A6C2-BB55C19907FB","20150204","","02BD2137-0890-1EEA-A6C2-BB55C19BA7FB","EUR","3453.38 ","2902.00 ","551.38 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C027FB","02BD2137-0890-1EEA-A6C2-BB55C19907FB","20150205","02BD2137-0890-1EEA-A6C2-BB55C19967FB","20150205","","02BD2137-0890-1EEA-A6C2-BB55C19BE7FB","EUR","8150.94 ","6849.53 ","1301.41 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C047FB","02BD2137-0890-1EEA-A6C2-BB55C197A7FB","20150206","02BD2137-0890-1EEA-A6C2-BB55C19A87FB","20150206","","02BD2137-0890-1EEA-A6C2-BB55C19C07FB","EUR","4372.85 ","3674.67 ","698.18 ","R","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C067FB","02BD2137-0890-1EEA-A6C2-BB55C19AA7FB","20150207","02BD2137-0890-1EEA-A6C2-BB55C19AC7FB","20150207","","02BD2137-0890-1EEA-A6C2-BB55C19C47FB","EUR","18986.39 ","15954.94 ","3031.45 ","P","I","S","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C087FB","02BD2137-0890-1EEA-A6C2-BB55C197A7FB","20150208","02BD2137-0890-1EEA-A6C2-BB55C19A87FB","20150208","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","23408.49 ","19671.00 ","3737.49 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C0A7FB","02BD2137-0890-1EEA-A6C2-BB55C19887FB","20150209","02BD2137-0890-1EEA-A6C2-BB55C19907FB","20150209","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","12515.23 ","10517.00 ","1998.23 ","R","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C0C7FB","02BD2137-0890-1EEA-A6C2-BB55C198A7FB","20150210","02BD2137-0890-1EEA-A6C2-BB55C198E7FB","20150210","","02BD2137-0890-1EEA-A6C2-BB55C19CA7FB","EUR","9971.01 ","8379.00 ","1592.01 ","P","I","C","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C0E7FB","02BD2137-0890-1EEA-A6C2-BB55C19A67FB","20150211","02BD2137-0890-1EEA-A6C2-BB55C198A7FB","20150211","","02BD2137-0890-1EEA-A6C2-BB55C19C27FB","EUR","1829.01 ","1536.98 ","292.03 ","R","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C107FB","02BD2137-0890-1EEA-A6C2-BB55C19A07FB","20150212","02BD2137-0890-1EEA-A6C2-BB55C19827FB","20150212","","02BD2137-0890-1EEA-A6C2-BB55C19BE7FB","EUR","3772.29 ","3169.99 ","602.30 ","R","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C127FB","02BD2137-0890-1EEA-A6C2-BB55C19B27FB","20150213","02BD2137-0890-1EEA-A6C2-BB55C19B27FB","20150213","","02BD2137-0890-1EEA-A6C2-BB55C19C47FB","EUR","3729.42 ","3133.97 ","595.45 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C147FB","02BD2137-0890-1EEA-A6C2-BB55C19867FB","20150214","02BD2137-0890-1EEA-A6C2-BB55C19B67FB","20150214","","02BD2137-0890-1EEA-A6C2-BB55C19CC7FB","EUR","4878.64 ","4099.70 ","778.94 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C167FB","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20150215","02BD2137-0890-1EEA-A6C2-BB55C19947FB","20150215","","02BD2137-0890-1EEA-A6C2-BB55C19BA7FB","EUR","9222.50 ","7750.00 ","1472.50 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C187FB","02BD2137-0890-1EEA-A6C2-BB55C197A7FB","20150216","02BD2137-0890-1EEA-A6C2-BB55C198E7FB","20150216","","02BD2137-0890-1EEA-A6C2-BB55C19BE7FB","EUR","3986.25 ","3349.79 ","636.46 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C1A7FB","02BD2137-0890-1EEA-A6C2-BB55C19887FB","20150217","02BD2137-0890-1EEA-A6C2-BB55C197C7FB","20150217","","02BD2137-0890-1EEA-A6C2-BB55C19CA7FB","EUR","3334.38 ","2802.00 ","532.38 ","R","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C1C7FB","02BD2137-0890-1EEA-A6C2-BB55C19B07FB","20150218","02BD2137-0890-1EEA-A6C2-BB55C199A7FB","20150218","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","15898.40 ","13360.00 ","2538.40 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C1E7FB","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20150219","02BD2137-0890-1EEA-A6C2-BB55C19A87FB","20150219","","02BD2137-0890-1EEA-A6C2-BB55C19C47FB","EUR","14320.39 ","12033.94 ","2286.45 ","P","A","C","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C207FB","02BD2137-0890-1EEA-A6C2-BB55C198A7FB","20150220","02BD2137-0890-1EEA-A6C2-BB55C199E7FB","20150220","","02BD2137-0890-1EEA-A6C2-BB55C19EE7FB","EUR","19189.94 ","16126.00 ","3063.94 ","P","I","C","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C227FB","02BD2137-0890-1EEA-A6C2-BB55C19A87FB","20150221","02BD2137-0890-1EEA-A6C2-BB55C199C7FB","20150221","","02BD2137-0890-1EEA-A6C2-BB55C19EC7FB","EUR","327367.81 ","275099.00 ","52268.81 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C247FB","02BD2137-0890-1EEA-A6C2-BB55C198E7FB","20150222","02BD2137-0890-1EEA-A6C2-BB55C19A07FB","20150222","","02BD2137-0890-1EEA-A6C2-BB55C19E67FB","EUR","21399.77 ","17983.00 ","3416.77 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C267FB","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20150223","02BD2137-0890-1EEA-A6C2-BB55C197C7FB","20150223","","02BD2137-0890-1EEA-A6C2-BB55C19EA7FB","EUR","72391.27 ","60833.00 ","11558.27 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C287FB","02BD2137-0890-1EEA-A6C2-BB55C19AE7FB","20150224","02BD2137-0890-1EEA-A6C2-BB55C19967FB","20150224","","02BD2137-0890-1EEA-A6C2-BB55C19EA7FB","EUR","125233.22 ","105238.00 ","19995.22 ","R","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C2A7FB","02BD2137-0890-1EEA-A6C2-BB55C198C7FB","20150225","02BD2137-0890-1EEA-A6C2-BB55C19827FB","20150225","","02BD2137-0890-1EEA-A6C2-BB55C19E47FB","EUR","11030.11 ","9269.00 ","1761.11 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C2C7FB","02BD2137-0890-1EEA-A6C2-BB55C198C7FB","20150226","02BD2137-0890-1EEA-A6C2-BB55C199E7FB","20150226","","02BD2137-0890-1EEA-A6C2-BB55C19E87FB","EUR","35817.81 ","30099.00 ","5718.81 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C2E7FB","02BD2137-0890-1EEA-A6C2-BB55C19A67FB","20150227","02BD2137-0890-1EEA-A6C2-BB55C19827FB","20150227","","02BD2137-0890-1EEA-A6C2-BB55C19E07FB","EUR","5488.28 ","4612.00 ","876.28 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C307FB","02BD2137-0890-1EEA-A6C2-BB55C19B27FB","20150228","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20150228","","02BD2137-0890-1EEA-A6C2-BB55C19EE7FB","EUR","12195.12 ","10248.00 ","1947.12 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C327FB","02BD2137-0890-1EEA-A6C2-BB55C19A27FB","20150228","02BD2137-0890-1EEA-A6C2-BB55C19A87FB","20150228","","02BD2137-0890-1EEA-A6C2-BB55C19EE7FB","EUR","3505.74 ","2946.00 ","559.74 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C347FB","02BD2137-0890-1EEA-A6C2-BB55C19A47FB","20150301","02BD2137-0890-1EEA-A6C2-BB55C19AE7FB","20150301","","02BD2137-0890-1EEA-A6C2-BB55C19EC7FB","EUR","297553.55 ","250045.00 ","47508.55 ","P","I","C","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C367FB","02BD2137-0890-1EEA-A6C2-BB55C19AE7FB","20150302","02BD2137-0890-1EEA-A6C2-BB55C19AA7FB","20150302","","02BD2137-0890-1EEA-A6C2-BB55C19E07FB","EUR","2898.84 ","2436.00 ","462.84 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C387FB","02BD2137-0890-1EEA-A6C2-BB55C19B07FB","20150303","02BD2137-0890-1EEA-A6C2-BB55C19B27FB","20150303","","02BD2137-0890-1EEA-A6C2-BB55C19E67FB","EUR","27716.29 ","23291.00 ","4425.29 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C3A7FB","02BD2137-0890-1EEA-A6C2-BB55C19947FB","20150304","02BD2137-0890-1EEA-A6C2-BB55C19A27FB","20150304","","02BD2137-0890-1EEA-A6C2-BB55C19EA7FB","EUR","143791.27 ","120833.00 ","22958.27 ","P","A","S","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C3C7FB","02BD2137-0890-1EEA-A6C2-BB55C19A27FB","20150305","02BD2137-0890-1EEA-A6C2-BB55C19987FB","20150305","","02BD2137-0890-1EEA-A6C2-BB55C19EA7FB","EUR","107524.83 ","90357.00 ","17167.83 ","P","A","C","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C3E7FB","02BD2137-0890-1EEA-A6C2-BB55C19AC7FB","20150306","02BD2137-0890-1EEA-A6C2-BB55C19787FB","20150306","","02BD2137-0890-1EEA-A6C2-BB55C19E47FB","EUR","14147.91 ","11889.00 ","2258.91 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C407FB","02BD2137-0890-1EEA-A6C2-BB55C19B27FB","20150307","02BD2137-0890-1EEA-A6C2-BB55C19AE7FB","20150307","","02BD2137-0890-1EEA-A6C2-BB55C19E07FB","EUR","1652.91 ","1389.00 ","263.91 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C427FB","02BD2137-0890-1EEA-A6C2-BB55C19787FB","20150308","02BD2137-0890-1EEA-A6C2-BB55C19987FB","20150308","","02BD2137-0890-1EEA-A6C2-BB55C19E67FB","EUR","5911.92 ","4968.00 ","943.92 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C447FB","02BD2137-0890-1EEA-A6C2-BB55C19A47FB","20150309","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20150309","","02BD2137-0890-1EEA-A6C2-BB55C19EC7FB","EUR","148792.84 ","125036.00 ","23756.84 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C467FB","02BD2137-0890-1EEA-A6C2-BB55C19B27FB","20150310","02BD2137-0890-1EEA-A6C2-BB55C19A67FB","20150310","","02BD2137-0890-1EEA-A6C2-BB55C19EE7FB","EUR","5283.60 ","4440.00 ","843.60 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C487FB","02BD2137-0890-1EEA-A6C2-BB55C19807FB","20150311","02BD2137-0890-1EEA-A6C2-BB55C19B47FB","20150311","","02BD2137-0890-1EEA-A6C2-BB55C19EE7FB","EUR","13964.65 ","11735.00 ","2229.65 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C4A7FB","02BD2137-0890-1EEA-A6C2-BB55C19987FB","20150312","02BD2137-0890-1EEA-A6C2-BB55C19AA7FB","20150312","","02BD2137-0890-1EEA-A6C2-BB55C19EC7FB","EUR","119010.71 ","100009.00 ","19001.71 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C4C7FB","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20150313","02BD2137-0890-1EEA-A6C2-BB55C19867FB","20150313","","02BD2137-0890-1EEA-A6C2-BB55C19EA7FB","EUR","53974.83 ","45357.00 ","8617.83 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C4E7FB","02BD2137-0890-1EEA-A6C2-BB55C19847FB","20150314","02BD2137-0890-1EEA-A6C2-BB55C19867FB","20150314","","02BD2137-0890-1EEA-A6C2-BB55C19E47FB","EUR","7676.69 ","6451.00 ","1225.69 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C507FB","02BD2137-0890-1EEA-A6C2-BB55C199E7FB","20150315","02BD2137-0890-1EEA-A6C2-BB55C198E7FB","20150315","","02BD2137-0890-1EEA-A6C2-BB55C19E67FB","EUR","22006.67 ","18493.00 ","3513.67 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C527FB","02BD2137-0890-1EEA-A6C2-BB55C19987FB","20150316","02BD2137-0890-1EEA-A6C2-BB55C19AC7FB","20150316","","02BD2137-0890-1EEA-A6C2-BB55C19E87FB","EUR","66745.91 ","56089.00 ","10656.91 ","R","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C547FB","02BD2137-0890-1EEA-A6C2-BB55C19887FB","20150317","02BD2137-0890-1EEA-A6C2-BB55C19887FB","20150317","","02BD2137-0890-1EEA-A6C2-BB55C19E87FB","EUR","66745.91 ","56089.00 ","10656.91 ","R","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C567FB","02BD2137-0890-1EEA-A6C2-BB55C19907FB","20150318","02BD2137-0890-1EEA-A6C2-BB55C19B67FB","20150318","","02BD2137-0890-1EEA-A6C2-BB55C19E87FB","EUR","42474.67 ","35693.00 ","6781.67 ","R","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C587FB","02BD2137-0890-1EEA-A6C2-BB55C19787FB","20150319","02BD2137-0890-1EEA-A6C2-BB55C198C7FB","20150319","","02BD2137-0890-1EEA-A6C2-BB55C19E47FB","EUR","10558.87 ","8873.00 ","1685.87 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C5A7FB","02BD2137-0890-1EEA-A6C2-BB55C19807FB","20150320","02BD2137-0890-1EEA-A6C2-BB55C19847FB","20150320","","02BD2137-0890-1EEA-A6C2-BB55C19E07FB","EUR","3525.97 ","2963.00 ","562.97 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C5C7FB","02BD2137-0890-1EEA-A6C2-BB55C19987FB","20150321","02BD2137-0890-1EEA-A6C2-BB55C19987FB","20150321","","02BD2137-0890-1EEA-A6C2-BB55C19EA7FB","EUR","143791.27 ","120833.00 ","22958.27 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C5E7FB","02BD2137-0890-1EEA-A6C2-BB55C19987FB","20150322","02BD2137-0890-1EEA-A6C2-BB55C19A07FB","20150322","","02BD2137-0890-1EEA-A6C2-BB55C19E07FB","EUR","2801.26 ","2354.00 ","447.26 ","X","R","X","I","I"
