"CLIENT","HEADER_PURCHASEORDERID","PRODUCT_PRODUCTID","NOTEID","CURRENCY","GROSSAMOUNT","NETAMOUNT","TAXAMOUNT","QUANTITY","QUANTITYUNIT","DELIVERYDATE"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF07FB","HT-1101","","EUR","190.16 ","159.80 ","30.36 ","2.000 ","EA","20151030"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF07FB","HT-2025","","EUR","53.54 ","44.99 ","8.55 ","1.000 ","EA","20151229"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF27FB","HT-2025","","EUR","160.61 ","134.97 ","25.64 ","3.000 ","EA","20150111"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF27FB","HT-1003","","EUR","1963.50 ","1650.00 ","313.50 ","1.000 ","EA","20150305"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF47FB","HT-1106","","MXN","121.38 ","102.00 ","19.38 ","3.000 ","EA","20150514"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF47FB","HT-1601","","MXN","3213.00 ","2700.00 ","513.00 ","3.000 ","EA","20150523"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF67FB","HT-1007","","USD","1187.62 ","998.00 ","189.62 ","2.000 ","EA","20141207"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF67FB","HT-1102","","USD","82.11 ","69.00 ","13.11 ","1.000 ","EA","20151222"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF87FB","HT-1603","","JPY","2023.00 ","1700.00 ","323.00 ","1.000 ","EA","20150603"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BF87FB","HT-1011","","JPY","5471.62 ","4598.00 ","873.62 ","2.000 ","EA","20150315"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BFA7FB","HT-1007","","USD","1781.43 ","1497.00 ","284.43 ","3.000 ","EA","20150523"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BFA7FB","HT-1102","","USD","82.11 ","69.00 ","13.11 ","1.000 ","EA","20141224"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BFC7FB","HT-1011","","JPY","5471.62 ","4598.00 ","873.62 ","2.000 ","EA","20150920"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BFC7FB","HT-1104","","JPY","196.35 ","165.00 ","31.35 ","3.000 ","EA","20150908"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BFE7FB","HT-1600","","ARS","1428.00 ","1200.00 ","228.00 ","2.000 ","EA","20150818"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BFE7FB","HT-1022","","ARS","487.90 ","410.00 ","77.90 ","2.000 ","EA","20150723"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C007FB","HT-6100","","EUR","1116.22 ","938.00 ","178.22 ","2.000 ","EA","20151113"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C007FB","HT-1000","","EUR","2275.28 ","1912.00 ","363.28 ","2.000 ","EA","20151102"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C027FB","HT-2026","","USD","71.38 ","59.98 ","11.40 ","2.000 ","EA","20151003"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C027FB","HT-1002","","USD","3736.60 ","3140.00 ","596.60 ","2.000 ","EA","20150911"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C047FB","HT-1003","","EUR","1963.50 ","1650.00 ","313.50 ","1.000 ","EA","20150228"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C047FB","HT-1101","","EUR","285.24 ","239.70 ","45.54 ","3.000 ","EA","20141207"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C067FB","HT-1103","","EUR","183.26 ","154.00 ","29.26 ","2.000 ","EA","20141213"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C067FB","HT-2000","","EUR","594.98 ","499.98 ","95.00 ","2.000 ","EA","20150701"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C087FB","HT-1104","","JPY","65.45 ","55.00 ","10.45 ","1.000 ","EA","20150818"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C087FB","HT-1603","","JPY","6069.00 ","5100.00 ","969.00 ","3.000 ","EA","20150109"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C0A7FB","HT-1603","","JPY","2023.00 ","1700.00 ","323.00 ","1.000 ","EA","20151015"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C0A7FB","HT-1011","","JPY","5471.62 ","4598.00 ","873.62 ","2.000 ","EA","20151005"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C0C7FB","HT-1601","","MXN","3213.00 ","2700.00 ","513.00 ","3.000 ","EA","20151012"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C0C7FB","HT-1021","","MXN","354.62 ","298.00 ","56.62 ","2.000 ","EA","20150523"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C0E7FB","HT-2001","","USD","1070.98 ","899.98 ","171.00 ","2.000 ","EA","20150330"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C0E7FB","HT-1007","","USD","593.81 ","499.00 ","94.81 ","1.000 ","EA","20150922"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C107FB","HT-2026","","USD","35.69 ","29.99 ","5.70 ","1.000 ","EA","20150324"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C107FB","HT-1002","","USD","3736.60 ","3140.00 ","596.60 ","2.000 ","EA","20150721"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C127FB","HT-1103","","EUR","274.89 ","231.00 ","43.89 ","3.000 ","EA","20150106"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C127FB","HT-2000","","EUR","892.46 ","749.97 ","142.49 ","3.000 ","EA","20150124"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C147FB","HT-1600","","ARS","2142.00 ","1800.00 ","342.00 ","3.000 ","EA","20150519"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C147FB","HT-1022","","ARS","243.95 ","205.00 ","38.95 ","1.000 ","EA","20151007"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C167FB","HT-1091","","EUR","61.88 ","52.00 ","9.88 ","2.000 ","EA","20150717"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C167FB","HT-6100","","EUR","1116.22 ","938.00 ","178.22 ","2.000 ","EA","20151031"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C187FB","HT-1100","","USD","213.96 ","179.80 ","34.16 ","2.000 ","EA","20151202"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C187FB","HT-2026","","USD","35.69 ","29.99 ","5.70 ","1.000 ","EA","20150928"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C1A7FB","HT-1106","","MXN","121.38 ","102.00 ","19.38 ","3.000 ","EA","20150916"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C1A7FB","HT-1601","","MXN","3213.00 ","2700.00 ","513.00 ","3.000 ","EA","20150823"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C1C7FB","HT-1011","","JPY","8207.43 ","6897.00 ","1310.43 ","3.000 ","EA","20150430"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C1C7FB","HT-1104","","JPY","196.35 ","165.00 ","31.35 ","3.000 ","EA","20151015"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C1E7FB","HT-1103","","EUR","274.89 ","231.00 ","43.89 ","3.000 ","EA","20150226"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C1E7FB","HT-2000","","EUR","892.46 ","749.97 ","142.49 ","3.000 ","EA","20150731"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C207FB","HT-1061","","EUR","8.33 ","7.00 ","1.33 ","1.000 ","EA","20150502"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C207FB","HT-6130","","EUR","3472.42 ","2918.00 ","554.42 ","2.000 ","EA","20150109"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C227FB","HT-1060","","EUR","21.42 ","18.00 ","3.42 ","2.000 ","EA","20150910"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C227FB","HT-1502","","EUR","29750.00 ","25000.00 ","4750.00 ","1.000 ","EA","20141223"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C247FB","HT-1052","","EUR","606.90 ","510.00 ","96.90 ","3.000 ","EA","20151019"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C247FB","HT-1210","","EUR","2854.81 ","2399.00 ","455.81 ","1.000 ","EA","20150624"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C267FB","HT-1056","","JPY","424.83 ","357.00 ","67.83 ","3.000 ","EA","20150202"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C267FB","HT-1501","","JPY","53550.00 ","45000.00 ","8550.00 ","3.000 ","EA","20150714"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C287FB","HT-1501","","JPY","35700.00 ","30000.00 ","5700.00 ","2.000 ","EA","20150119"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C287FB","HT-1056","","JPY","141.61 ","119.00 ","22.61 ","1.000 ","EA","20151006"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C2A7FB","HT-1051","","USD","117.81 ","99.00 ","18.81 ","1.000 ","EA","20150518"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C2A7FB","HT-1138","","USD","2882.18 ","2422.00 ","460.18 ","2.000 ","EA","20150101"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C2C7FB","HT-1500","","EUR","17850.00 ","15000.00 ","2850.00 ","3.000 ","EA","20150330"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C2C7FB","HT-1055","","EUR","117.81 ","99.00 ","18.81 ","1.000 ","EA","20150228"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C2E7FB","HT-1042","","EUR","830.62 ","698.00 ","132.62 ","2.000 ","EA","20150504"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C2E7FB","HT-1120","","EUR","928.20 ","780.00 ","148.20 ","3.000 ","EA","20151109"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C307FB","HT-1061","","EUR","16.66 ","14.00 ","2.66 ","2.000 ","EA","20151227"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C307FB","HT-6130","","EUR","3472.42 ","2918.00 ","554.42 ","2.000 ","EA","20151024"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C327FB","HT-1061","","EUR","16.66 ","14.00 ","2.66 ","2.000 ","EA","20150302"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C327FB","HT-6130","","EUR","3472.42 ","2918.00 ","554.42 ","2.000 ","EA","20151025"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C347FB","HT-1502","","EUR","59500.00 ","50000.00 ","9500.00 ","2.000 ","EA","20150531"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C347FB","HT-1060","","EUR","21.42 ","18.00 ","3.42 ","2.000 ","EA","20151023"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C367FB","HT-1042","","EUR","415.31 ","349.00 ","66.31 ","1.000 ","EA","20150724"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C367FB","HT-1120","","EUR","928.20 ","780.00 ","148.20 ","3.000 ","EA","20150225"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C387FB","HT-1052","","EUR","404.60 ","340.00 ","64.60 ","2.000 ","EA","20150531"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C387FB","HT-1210","","EUR","5709.62 ","4798.00 ","911.62 ","2.000 ","EA","20150717"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C3A7FB","HT-1501","","JPY","17850.00 ","15000.00 ","2850.00 ","1.000 ","EA","20150628"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C3A7FB","HT-1056","","JPY","424.83 ","357.00 ","67.83 ","3.000 ","EA","20150811"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C3C7FB","HT-1056","","JPY","141.61 ","119.00 ","22.61 ","1.000 ","EA","20150708"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C3C7FB","HT-1501","","JPY","35700.00 ","30000.00 ","5700.00 ","2.000 ","EA","20151107"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C3E7FB","HT-1051","","USD","353.43 ","297.00 ","56.43 ","3.000 ","EA","20150311"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C3E7FB","HT-1138","","USD","2882.18 ","2422.00 ","460.18 ","2.000 ","EA","20150407"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C407FB","HT-1120","","EUR","618.80 ","520.00 ","98.80 ","2.000 ","EA","20150216"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C407FB","HT-1042","","EUR","415.31 ","349.00 ","66.31 ","1.000 ","EA","20150501"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C427FB","HT-1052","","EUR","202.30 ","170.00 ","32.30 ","1.000 ","EA","20150502"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C427FB","HT-1210","","EUR","5709.62 ","4798.00 ","911.62 ","2.000 ","EA","20150430"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C447FB","HT-1060","","EUR","32.13 ","27.00 ","5.13 ","3.000 ","EA","20151231"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C447FB","HT-1502","","EUR","89250.00 ","75000.00 ","14250.00 ","3.000 ","EA","20151027"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C467FB","HT-1061","","EUR","24.99 ","21.00 ","3.99 ","3.000 ","EA","20150210"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C467FB","HT-6130","","EUR","1736.21 ","1459.00 ","277.21 ","1.000 ","EA","20150530"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C487FB","HT-1061","","EUR","16.66 ","14.00 ","2.66 ","2.000 ","EA","20150826"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C487FB","HT-6130","","EUR","3472.42 ","2918.00 ","554.42 ","2.000 ","EA","20150501"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C4A7FB","HT-1502","","EUR","59500.00 ","50000.00 ","9500.00 ","2.000 ","EA","20150812"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C4A7FB","HT-1060","","EUR","10.71 ","9.00 ","1.71 ","1.000 ","EA","20150324"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C4C7FB","HT-1056","","JPY","424.83 ","357.00 ","67.83 ","3.000 ","EA","20150308"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C4C7FB","HT-1501","","JPY","53550.00 ","45000.00 ","8550.00 ","3.000 ","EA","20151009"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C4E7FB","HT-1051","","USD","353.43 ","297.00 ","56.43 ","3.000 ","EA","20151006"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C4E7FB","HT-1138","","USD","4323.27 ","3633.00 ","690.27 ","3.000 ","EA","20150314"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C507FB","HT-1052","","EUR","606.90 ","510.00 ","96.90 ","3.000 ","EA","20151231"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C507FB","HT-1210","","EUR","8564.43 ","7197.00 ","1367.43 ","3.000 ","EA","20150624"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C527FB","HT-1500","","EUR","5950.00 ","5000.00 ","950.00 ","1.000 ","EA","20141214"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C527FB","HT-1055","","EUR","235.62 ","198.00 ","37.62 ","2.000 ","EA","20151230"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C547FB","HT-1500","","EUR","11900.00 ","10000.00 ","1900.00 ","2.000 ","EA","20150217"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C547FB","HT-1055","","EUR","117.81 ","99.00 ","18.81 ","1.000 ","EA","20151115"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C567FB","HT-1500","","EUR","17850.00 ","15000.00 ","2850.00 ","3.000 ","EA","20151031"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C567FB","HT-1055","","EUR","117.81 ","99.00 ","18.81 ","1.000 ","EA","20150123"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C587FB","HT-1138","","USD","4323.27 ","3633.00 ","690.27 ","3.000 ","EA","20150224"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C587FB","HT-1051","","USD","353.43 ","297.00 ","56.43 ","3.000 ","EA","20151105"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C5A7FB","HT-1042","","EUR","830.62 ","698.00 ","132.62 ","2.000 ","EA","20150916"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C5A7FB","HT-1120","","EUR","309.40 ","260.00 ","49.40 ","1.000 ","EA","20150730"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C5C7FB","HT-1501","","JPY","17850.00 ","15000.00 ","2850.00 ","1.000 ","EA","20150520"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C5C7FB","HT-1056","","JPY","283.22 ","238.00 ","45.22 ","2.000 ","EA","20151025"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C5E7FB","HT-1042","","EUR","1245.93 ","1047.00 ","198.93 ","3.000 ","EA","20151027"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C5E7FB","HT-1120","","EUR","309.40 ","260.00 ","49.40 ","1.000 ","EA","20150716"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C607FB","HT-1501","","JPY","35700.00 ","30000.00 ","5700.00 ","2.000 ","EA","20150517"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C607FB","HT-1056","","JPY","424.83 ","357.00 ","67.83 ","3.000 ","EA","20150210"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C627FB","HT-6130","","EUR","3472.42 ","2918.00 ","554.42 ","2.000 ","EA","20151127"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C627FB","HT-1061","","EUR","16.66 ","14.00 ","2.66 ","2.000 ","EA","20151023"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C647FB","HT-6130","","EUR","3472.42 ","2918.00 ","554.42 ","2.000 ","EA","20150730"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C647FB","HT-1061","","EUR","16.66 ","14.00 ","2.66 ","2.000 ","EA","20150412"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C667FB","HT-1060","","EUR","21.42 ","18.00 ","3.42 ","2.000 ","EA","20150124"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C667FB","HT-1502","","EUR","59500.00 ","50000.00 ","9500.00 ","2.000 ","EA","20150627"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C687FB","HT-1500","","EUR","5950.00 ","5000.00 ","950.00 ","1.000 ","EA","20150325"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C687FB","HT-1055","","EUR","353.43 ","297.00 ","56.43 ","3.000 ","EA","20150414"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C6A7FB","HT-1210","","EUR","5709.62 ","4798.00 ","911.62 ","2.000 ","EA","20150615"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C6A7FB","HT-1052","","EUR","404.60 ","340.00 ","64.60 ","2.000 ","EA","20150425"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C6C7FB","HT-1056","","JPY","141.61 ","119.00 ","22.61 ","1.000 ","EA","20151108"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C6C7FB","HT-1501","","JPY","53550.00 ","45000.00 ","8550.00 ","3.000 ","EA","20150513"
"100","02BD2137-0890-1EEA-A6C2-BB55C1C6E7FB","HT-1501","","JPY","17850.00 ","15000.00 ","2850.00 ","1.000 ","EA","20150914"
