POHeader_ID,ID,product_productId,noteId,currency_code,grossAmount,netAmount,taxAmount,quantity,quantityUnit,deliveryDate
02BD2137-0890-1EEA-A6C2-BB55C1BDA7FB,57375557-EF07-4229-A0E2-EB9DE5044B0D,HT-1021,,MXN,354.62,298,56.62,2,EA,2020-11-28
02BD2137-0890-1EEA-A6C2-BB55C1BDC7FB,5E888794-9035-466E-915D-96A8E28BE19A,HT-2001,,USD,1070.98,899.98,171,2,EA,2020-04-20
02BD2137-0890-1EEA-A6C2-BB55C1BDC7FB,D2F68779-1576-4F60-BF0E-D281529F0381,HT-1007,,USD,593.81,499,94.81,1,EA,2020-02-05
02BD2137-0890-1EEA-A6C2-BB55C1BDE7FB,E137CBB8-EAFF-4B97-AB2B-0AA2E9AA068E,HT-2000,,EUR,297.49,249.99,47.5,1,EA,2014-12-10
02BD2137-0890-1EEA-A6C2-BB55C1BDE7FB,4EA9844F-F06A-46D8-8225-53674D9CFF2F,HT-1010,,EUR,4757.62,3998,759.62,2,EA,2020-04-04
02BD2137-0890-1EEA-A6C2-BB55C1BE07FB,DFB29216-BABD-4BAB-BF7B-86E5FA3729C2,HT-1100,,USD,320.94,269.7,51.24,3,EA,2020-08-01
02BD2137-0890-1EEA-A6C2-BB55C1BE07FB,2B4CC1C4-17DD-4E8E-B51A-F2C9DDF37F11,HT-2026,,USD,107.06,89.97,17.09,3,EA,2020-07-21
02BD2137-0890-1EEA-A6C2-BB55C1BE27FB,1C913F81-1D13-49DF-91DE-A29F3A221AFA,HT-1600,,ARS,2142,1800,342,3,EA,2020-01-29
02BD2137-0890-1EEA-A6C2-BB55C1BE27FB,B7326052-3752-4F09-A15D-12072FFEB469,HT-1022,,ARS,243.95,205,38.95,1,EA,2020-04-10
02BD2137-0890-1EEA-A6C2-BB55C1BE47FB,B72C103E-28A8-44DF-8509-8F4747B2AC4C,HT-6100,,EUR,1116.22,938,178.22,2,EA,2020-09-23
02BD2137-0890-1EEA-A6C2-BB55C1BE47FB,75E24AB1-454C-4B82-B5A3-9754788511F6,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2020-12-23
02BD2137-0890-1EEA-A6C2-BB55C1BE67FB,824D7769-2910-4699-85FF-87CA821CCD40,HT-2026,,USD,71.38,59.98,11.4,2,EA,2020-08-06
02BD2137-0890-1EEA-A6C2-BB55C1BE67FB,3495A28F-3C13-4781-9030-C0BBB5723707,HT-1002,,USD,1868.3,1570,298.3,1,EA,2020-03-16
02BD2137-0890-1EEA-A6C2-BB55C1BE87FB,8FAAC284-4A5B-45F2-9D5A-440DA8674F69,HT-1603,,JPY,6069,5100,969,3,EA,2020-07-07
02BD2137-0890-1EEA-A6C2-BB55C1BE87FB,4EC6C7CA-01E5-412F-80EF-84FDBBBF5D30,HT-1011,,JPY,8207.43,6897,1310.43,3,EA,2020-10-19
02BD2137-0890-1EEA-A6C2-BB55C1BEA7FB,4CF37D68-14DA-4CAE-B388-81B1294793E3,HT-1106,,MXN,121.38,102,19.38,3,EA,2020-11-07
02BD2137-0890-1EEA-A6C2-BB55C1BEA7FB,30EB819F-CBC4-449A-9D84-9C02E1E64A96,HT-1601,,MXN,3213,2700,513,3,EA,2020-02-22
02BD2137-0890-1EEA-A6C2-BB55C1BEC7FB,B2E01D83-0C2B-4629-9840-D0934F193CA0,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2020-05-18
02BD2137-0890-1EEA-A6C2-BB55C1BEC7FB,8191DBD3-4747-48DC-816C-44584B57DD1C,HT-1010,,EUR,7136.43,5997,1139.43,3,EA,2020-09-13
02BD2137-0890-1EEA-A6C2-BB55C1BEE7FB,F5621250-FCB8-4996-A8D6-254407114868,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2020-01-18
02BD2137-0890-1EEA-A6C2-BB55C1BEE7FB,9B086B3E-D5F7-44ED-A61A-E021E4429A24,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2020-03-30
02BD2137-0890-1EEA-A6C2-BB55C1BF07FB,34461CC2-D1E0-4A71-8FA8-2808A898A057,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2020-10-30
02BD2137-0890-1EEA-A6C2-BB55C1BF07FB,D51D72BB-0B40-4051-858D-04FDF43E1B13,HT-2025,,EUR,53.54,44.99,8.55,1,EA,2020-12-29
02BD2137-0890-1EEA-A6C2-BB55C1BF27FB,276A2385-4B11-4018-8E77-290D15A63F27,HT-2025,,EUR,160.61,134.97,25.64,3,EA,2020-01-11
02BD2137-0890-1EEA-A6C2-BB55C1BF27FB,9446B771-3B09-491B-B1F8-EECDD942F8F5,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2020-03-05
02BD2137-0890-1EEA-A6C2-BB55C1BF47FB,0CE4F42A-8F76-4610-9303-634903A1997C,HT-1106,,MXN,121.38,102,19.38,3,EA,2020-05-14
02BD2137-0890-1EEA-A6C2-BB55C1BF47FB,7E928E36-A65D-4240-B8DC-1E13BC2363DB,HT-1601,,MXN,3213,2700,513,3,EA,2020-05-23
02BD2137-0890-1EEA-A6C2-BB55C1BF67FB,3B305172-74A3-4285-ACF8-532CFF9F3AE3,HT-1007,,USD,1187.62,998,189.62,2,EA,2014-12-07
02BD2137-0890-1EEA-A6C2-BB55C1BF67FB,F1385ED6-74BA-4C92-AA1F-B6B61E51B67C,HT-1102,,USD,82.11,69,13.11,1,EA,2020-12-22
02BD2137-0890-1EEA-A6C2-BB55C1BF87FB,95247F4C-3750-43CB-A786-E39AB7BE535B,HT-1603,,JPY,2023,1700,323,1,EA,2020-06-03
02BD2137-0890-1EEA-A6C2-BB55C1BF87FB,D26294F7-8149-4530-99DD-51D933FD94C0,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2020-03-15
02BD2137-0890-1EEA-A6C2-BB55C1BFA7FB,95B85A2D-8A2C-432C-92C0-B305E13210E5,HT-1007,,USD,1781.43,1497,284.43,3,EA,2020-05-23
02BD2137-0890-1EEA-A6C2-BB55C1BFA7FB,05E017C4-89A5-45C2-93BD-CCAB3EB356C0,HT-1102,,USD,82.11,69,13.11,1,EA,2014-12-24
02BD2137-0890-1EEA-A6C2-BB55C1BFC7FB,37A9D4DC-E3AA-4720-BB4D-23EA030AEA8B,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2020-09-20
02BD2137-0890-1EEA-A6C2-BB55C1BFC7FB,DFD07532-1877-46E6-9E76-B51D7DCDEEF4,HT-1104,,JPY,196.35,165,31.35,3,EA,2020-09-08
02BD2137-0890-1EEA-A6C2-BB55C1BFE7FB,FD9F4E08-EC50-4473-BED9-44AD088709F3,HT-1600,,ARS,1428,1200,228,2,EA,2020-08-18
02BD2137-0890-1EEA-A6C2-BB55C1BFE7FB,05B05D6E-843F-4952-AA26-93D7B674E096,HT-1022,,ARS,487.9,410,77.9,2,EA,2020-07-23
02BD2137-0890-1EEA-A6C2-BB55C1C007FB,2F146EE5-631C-4396-83DF-157A80A85FE5,HT-6100,,EUR,1116.22,938,178.22,2,EA,2020-11-13
02BD2137-0890-1EEA-A6C2-BB55C1C007FB,6E5A2364-70D8-49E9-8A5F-AD432DDCD3BE,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2020-11-02
02BD2137-0890-1EEA-A6C2-BB55C1C027FB,90378B6E-4AB9-45F2-8766-9704BD4C0849,HT-2026,,USD,71.38,59.98,11.4,2,EA,2020-10-03
02BD2137-0890-1EEA-A6C2-BB55C1C027FB,5F989A46-D433-4E49-9C2D-197DA1DA6031,HT-1002,,USD,3736.6,3140,596.6,2,EA,2020-09-11
02BD2137-0890-1EEA-A6C2-BB55C1C047FB,DD707079-EE82-44C7-9DD1-2CCE169DC2A4,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2020-02-28
02BD2137-0890-1EEA-A6C2-BB55C1C047FB,C25D8195-79D5-4D54-B7C0-3DA7FA16C1A7,HT-1101,,EUR,285.24,239.7,45.54,3,EA,2014-12-07
02BD2137-0890-1EEA-A6C2-BB55C1C067FB,D2E45EDA-2A92-41DB-B920-BE41F3D77ADF,HT-1103,,EUR,183.26,154,29.26,2,EA,2014-12-13
02BD2137-0890-1EEA-A6C2-BB55C1C067FB,97ADC80C-BFE6-40F8-9F7C-466C30E0AE94,HT-2000,,EUR,594.98,499.98,95,2,EA,2020-07-01
02BD2137-0890-1EEA-A6C2-BB55C1C087FB,37205BB6-C313-477F-A83E-4F897B4746EB,HT-1104,,JPY,65.45,55,10.45,1,EA,2020-08-18
02BD2137-0890-1EEA-A6C2-BB55C1C087FB,E49A2E9A-F384-4027-9E99-BDFDC82AE374,HT-1603,,JPY,6069,5100,969,3,EA,2020-01-09
02BD2137-0890-1EEA-A6C2-BB55C1C0A7FB,6B4A5A8F-337D-470C-94F6-53DA147FFB15,HT-1603,,JPY,2023,1700,323,1,EA,2020-10-15
02BD2137-0890-1EEA-A6C2-BB55C1C0A7FB,5293F01C-1538-4A76-94BB-270A6E88861B,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2020-10-05
02BD2137-0890-1EEA-A6C2-BB55C1C0C7FB,CCB35CBD-6E83-4760-9752-CF83DBC62874,HT-1601,,MXN,3213,2700,513,3,EA,2020-10-12
02BD2137-0890-1EEA-A6C2-BB55C1C0C7FB,FE9B4FB4-1E72-4903-ACB4-8EFA4F31D6A1,HT-1021,,MXN,354.62,298,56.62,2,EA,2020-05-23
02BD2137-0890-1EEA-A6C2-BB55C1C0E7FB,19BDD525-9056-4E1D-B13C-DCD9C0EB87DC,HT-2001,,USD,1070.98,899.98,171,2,EA,2020-03-30
02BD2137-0890-1EEA-A6C2-BB55C1C0E7FB,48C5A201-6E0B-416C-A5DA-C31EC6859FC1,HT-1007,,USD,593.81,499,94.81,1,EA,2020-09-22
02BD2137-0890-1EEA-A6C2-BB55C1C107FB,64B7689C-7D55-4EE3-998C-989573DA42F3,HT-2026,,USD,35.69,29.99,5.7,1,EA,2020-03-24
02BD2137-0890-1EEA-A6C2-BB55C1C107FB,A85B49E9-59FE-444B-B379-7175F8000D4C,HT-1002,,USD,3736.6,3140,596.6,2,EA,2020-07-21
02BD2137-0890-1EEA-A6C2-BB55C1C127FB,59A4EF15-3474-4D2E-AD8B-FCF1D441A56C,HT-1103,,EUR,274.89,231,43.89,3,EA,2020-01-06
02BD2137-0890-1EEA-A6C2-BB55C1C127FB,D7FA3CF4-8608-48FE-A686-FEE2EAB83D55,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2020-01-24
02BD2137-0890-1EEA-A6C2-BB55C1C147FB,671807E4-0BA3-4222-B2C5-B8E0CEFBF754,HT-1600,,ARS,2142,1800,342,3,EA,2020-05-19
02BD2137-0890-1EEA-A6C2-BB55C1C147FB,5AB2100D-E649-4664-A7CE-34C0941F85F5,HT-1022,,ARS,243.95,205,38.95,1,EA,2020-10-07
02BD2137-0890-1EEA-A6C2-BB55C1C167FB,FAC8F0E9-F8D1-41CB-B01A-55D205D06FBF,HT-1091,,EUR,61.88,52,9.88,2,EA,2020-07-17
02BD2137-0890-1EEA-A6C2-BB55C1C167FB,F1BF4B48-C917-44C0-9F48-C62DC3850D75,HT-6100,,EUR,1116.22,938,178.22,2,EA,2020-10-31
02BD2137-0890-1EEA-A6C2-BB55C1C187FB,15747756-AE57-4359-8806-21AFF46D4EEE,HT-1100,,USD,213.96,179.8,34.16,2,EA,2020-12-02
02BD2137-0890-1EEA-A6C2-BB55C1C187FB,5101A99E-72F6-4434-A863-01290B9FD7C6,HT-2026,,USD,35.69,29.99,5.7,1,EA,2020-09-28
02BD2137-0890-1EEA-A6C2-BB55C1C1A7FB,EA7E7115-6D75-4165-A9DE-15A7F5691AB3,HT-1106,,MXN,121.38,102,19.38,3,EA,2020-09-16
02BD2137-0890-1EEA-A6C2-BB55C1C1A7FB,D5774B2E-E7B9-4E47-808C-96D327E35FA0,HT-1601,,MXN,3213,2700,513,3,EA,2020-08-23
02BD2137-0890-1EEA-A6C2-BB55C1C1C7FB,2662EB1B-F476-474E-9D0B-1CE875649367,HT-1011,,JPY,8207.43,6897,1310.43,3,EA,2020-04-30
02BD2137-0890-1EEA-A6C2-BB55C1C1C7FB,1877E786-C193-452C-AACF-D55133E71073,HT-1104,,JPY,196.35,165,31.35,3,EA,2020-10-15
02BD2137-0890-1EEA-A6C2-BB55C1C1E7FB,D4CBC70F-1BD6-4C90-820F-2E3167E9FEB2,HT-1103,,EUR,274.89,231,43.89,3,EA,2020-02-26
02BD2137-0890-1EEA-A6C2-BB55C1C1E7FB,A25DE66C-BC4A-4054-9792-2EC24DA1E024,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2020-07-31
02BD2137-0890-1EEA-A6C2-BB55C1C207FB,6CDE7BC6-33E8-4960-892C-C32442DE03DB,HT-1061,,EUR,8.33,7,1.33,1,EA,2020-05-02
02BD2137-0890-1EEA-A6C2-BB55C1C207FB,6EE7CB60-027F-4F7E-AF7A-C9F801B829D3,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2020-01-09
02BD2137-0890-1EEA-A6C2-BB55C1C227FB,5CB016E5-F9F1-4A7F-8E07-BA504F986390,HT-1060,,EUR,21.42,18,3.42,2,EA,2020-09-10
02BD2137-0890-1EEA-A6C2-BB55C1C227FB,BBC90CFF-EE03-4043-AF0B-5EAE8CEE32F2,HT-1502,,EUR,29750,25000,4750,1,EA,2014-12-23
02BD2137-0890-1EEA-A6C2-BB55C1C247FB,D71B60E5-B2B0-4DA3-9DAB-0A4041F66F19,HT-1052,,EUR,606.9,510,96.9,3,EA,2020-10-19
02BD2137-0890-1EEA-A6C2-BB55C1C247FB,7E946139-6596-4E1F-8F4F-ABEBD9E7A09B,HT-1210,,EUR,2854.81,2399,455.81,1,EA,2020-06-24
02BD2137-0890-1EEA-A6C2-BB55C1C267FB,67C440E2-4323-4689-9987-DADFFD482E22,HT-1056,,JPY,424.83,357,67.83,3,EA,2020-02-02
02BD2137-0890-1EEA-A6C2-BB55C1C267FB,53A69304-43AD-430D-8968-25AE72A44AE1,HT-1501,,JPY,53550,45000,8550,3,EA,2020-07-14
02BD2137-0890-1EEA-A6C2-BB55C1C287FB,EA319C78-532A-4F9D-B920-007707F80E58,HT-1501,,JPY,35700,30000,5700,2,EA,2020-01-19
02BD2137-0890-1EEA-A6C2-BB55C1C287FB,C473AAFE-E942-4340-8B68-57FF450346FD,HT-1056,,JPY,141.61,119,22.61,1,EA,2020-10-06
02BD2137-0890-1EEA-A6C2-BB55C1C2A7FB,90A0F65F-83AD-4B4C-80EE-565DD1BFF325,HT-1051,,USD,117.81,99,18.81,1,EA,2020-05-18
02BD2137-0890-1EEA-A6C2-BB55C1C2A7FB,33AE7B24-B0E0-46C9-9A17-14436FF8608B,HT-1138,,USD,2882.18,2422,460.18,2,EA,2020-01-01
02BD2137-0890-1EEA-A6C2-BB55C1C2C7FB,8D9FE39F-2574-4B17-BE5E-290B100FDC87,HT-1500,,EUR,17850,15000,2850,3,EA,2020-03-30
02BD2137-0890-1EEA-A6C2-BB55C1C2C7FB,C9D9F090-BB7F-4CB1-92C9-0BED82CB3437,HT-1055,,EUR,117.81,99,18.81,1,EA,2020-02-28
02BD2137-0890-1EEA-A6C2-BB55C1C2E7FB,110E76B3-2E8A-485D-A0A0-40D477A56338,HT-1042,,EUR,830.62,698,132.62,2,EA,2020-05-04
02BD2137-0890-1EEA-A6C2-BB55C1C2E7FB,62D33E37-AA90-4905-8DD9-94C857B742AD,HT-1120,,EUR,928.2,780,148.2,3,EA,2020-11-09
02BD2137-0890-1EEA-A6C2-BB55C1C307FB,F7BD6FE5-1D7B-4776-BA81-5DE9F4311C8F,HT-1061,,EUR,16.66,14,2.66,2,EA,2020-12-27
02BD2137-0890-1EEA-A6C2-BB55C1C307FB,22767366-8029-4986-8DDF-A304C0B01D86,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2020-10-24
02BD2137-0890-1EEA-A6C2-BB55C1C327FB,FCEFEFC1-3EC6-4DCF-A109-3B7817ED18B4,HT-1061,,EUR,16.66,14,2.66,2,EA,2020-03-02
02BD2137-0890-1EEA-A6C2-BB55C1C327FB,D6DA201D-B6AC-4BE7-ADEC-CC83760A785B,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2020-10-25
02BD2137-0890-1EEA-A6C2-BB55C1C347FB,BFBB8A12-5808-4FF6-A78B-90CB38748D14,HT-1502,,EUR,59500,50000,9500,2,EA,2020-05-31
02BD2137-0890-1EEA-A6C2-BB55C1C347FB,BE20DD0D-76A6-4C6E-B106-2527C8898BCF,HT-1060,,EUR,21.42,18,3.42,2,EA,2020-10-23
02BD2137-0890-1EEA-A6C2-BB55C1C367FB,60F91978-256A-4B62-9A72-F2F48038E947,HT-1042,,EUR,415.31,349,66.31,1,EA,2020-07-24
02BD2137-0890-1EEA-A6C2-BB55C1C367FB,565E2D23-5EA8-45A0-B3FB-0DE845928A74,HT-1120,,EUR,928.2,780,148.2,3,EA,2020-02-25
02BD2137-0890-1EEA-A6C2-BB55C1C387FB,E0414945-9112-44C0-BB04-C3516FD31A19,HT-1052,,EUR,404.6,340,64.6,2,EA,2020-05-31
02BD2137-0890-1EEA-A6C2-BB55C1C387FB,CBD0F6BB-A779-458C-A07D-117B05DDDB53,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2020-07-17
02BD2137-0890-1EEA-A6C2-BB55C1C3A7FB,E722E8DB-0920-4074-9418-12046972BB97,HT-1501,,JPY,17850,15000,2850,1,EA,2020-06-28
02BD2137-0890-1EEA-A6C2-BB55C1C3A7FB,F8838C58-BE0B-4240-BD45-256845D7ABB9,HT-1056,,JPY,424.83,357,67.83,3,EA,2020-08-11
02BD2137-0890-1EEA-A6C2-BB55C1C3C7FB,220DCB9E-081A-4649-8C56-16F327B59850,HT-1056,,JPY,141.61,119,22.61,1,EA,2020-07-08
02BD2137-0890-1EEA-A6C2-BB55C1C3C7FB,BCE8D6C3-3C2B-43E0-8BAF-537F5593B3A4,HT-1501,,JPY,35700,30000,5700,2,EA,2020-11-07
02BD2137-0890-1EEA-A6C2-BB55C1C3E7FB,0E66CF48-865D-4311-A12F-7FDAA5DA5D4B,HT-1051,,USD,353.43,297,56.43,3,EA,2020-03-11
02BD2137-0890-1EEA-A6C2-BB55C1C3E7FB,73E2E132-0F5A-4FFC-8709-A2064D5CE3D5,HT-1138,,USD,2882.18,2422,460.18,2,EA,2020-04-07
02BD2137-0890-1EEA-A6C2-BB55C1C407FB,AF012C35-C180-4E1E-B544-81138662E73E,HT-1120,,EUR,618.8,520,98.8,2,EA,2020-02-16
02BD2137-0890-1EEA-A6C2-BB55C1C407FB,F3F1EC86-F6C0-4743-AE43-4CB595A018AB,HT-1042,,EUR,415.31,349,66.31,1,EA,2020-05-01
02BD2137-0890-1EEA-A6C2-BB55C1C427FB,6DB6EDD2-CE72-4B9E-AE8D-A3E7C60A8044,HT-1052,,EUR,202.3,170,32.3,1,EA,2020-05-02
02BD2137-0890-1EEA-A6C2-BB55C1C427FB,35524B49-559A-415D-AEA7-A8CCCC12B550,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2020-04-30
02BD2137-0890-1EEA-A6C2-BB55C1C447FB,EF5CB186-A12D-48FC-AB98-A1AB4FF2713C,HT-1060,,EUR,32.13,27,5.13,3,EA,2020-12-31
02BD2137-0890-1EEA-A6C2-BB55C1C447FB,5BBE35C3-4BD5-4F79-9516-249FE5A8BCE7,HT-1502,,EUR,89250,75000,14250,3,EA,2020-10-27
02BD2137-0890-1EEA-A6C2-BB55C1C467FB,6C62DE4A-7B48-4705-B7EB-720C2FFA0B7B,HT-1061,,EUR,24.99,21,3.99,3,EA,2020-02-10
02BD2137-0890-1EEA-A6C2-BB55C1C467FB,E0CEDBE2-1C55-4C02-9155-3FD38E3A3643,HT-6130,,EUR,1736.21,1459,277.21,1,EA,2020-05-30
02BD2137-0890-1EEA-A6C2-BB55C1C487FB,96BE9E10-B470-4F55-8609-5358CA63132A,HT-1061,,EUR,16.66,14,2.66,2,EA,2020-08-26
02BD2137-0890-1EEA-A6C2-BB55C1C487FB,D0DF4D13-FA65-43F1-9660-A4E0AAB6A703,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2020-05-01
02BD2137-0890-1EEA-A6C2-BB55C1C4A7FB,62B8FD02-063F-417F-9980-BC6582C758E7,HT-1502,,EUR,59500,50000,9500,2,EA,2020-08-12
02BD2137-0890-1EEA-A6C2-BB55C1C4A7FB,E9EBDCBB-F48B-4F61-8130-530220F39079,HT-1060,,EUR,10.71,9,1.71,1,EA,2020-03-24
02BD2137-0890-1EEA-A6C2-BB55C1C4C7FB,813A08E7-B0DD-4CEF-8F6F-C28296B5264C,HT-1056,,JPY,424.83,357,67.83,3,EA,2020-03-08
02BD2137-0890-1EEA-A6C2-BB55C1C4C7FB,587A1178-78A4-4CD4-B7D8-ACFF0815D4F6,HT-1501,,JPY,53550,45000,8550,3,EA,2020-10-09
02BD2137-0890-1EEA-A6C2-BB55C1C4E7FB,EA07D9F8-53D3-4838-B288-18A4B804020D,HT-1051,,USD,353.43,297,56.43,3,EA,2020-10-06
02BD2137-0890-1EEA-A6C2-BB55C1C4E7FB,F1007F61-B557-44E1-BCCC-C9F50237CCE1,HT-1138,,USD,4323.27,3633,690.27,3,EA,2020-03-14
02BD2137-0890-1EEA-A6C2-BB55C1C507FB,959ECFCA-38EE-4161-982A-8D6BE9235471,HT-1052,,EUR,606.9,510,96.9,3,EA,2020-12-31
02BD2137-0890-1EEA-A6C2-BB55C1C507FB,95C6D828-FAA5-46AC-A964-9C5382372FBB,HT-1210,,EUR,8564.43,7197,1367.43,3,EA,2020-06-24
02BD2137-0890-1EEA-A6C2-BB55C1C527FB,98B38327-A5A5-40C7-A3CA-26FB9BED9A4F,HT-1500,,EUR,5950,5000,950,1,EA,2014-12-14
02BD2137-0890-1EEA-A6C2-BB55C1C527FB,CF08A50F-EE24-4758-92F7-BBE80A089CF1,HT-1055,,EUR,235.62,198,37.62,2,EA,2020-12-30
